FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
282set,CM7,-0.0223051,0.050768,-0.0263909,0.00791161,-0.0109221,0.00245896,-0.0789345,-0.026602,0.000690767,-0.0888966,-0.0176586,0.0743431,-0.12715,-0.0521237,0.237523,-0.116305,-0.125121,0.393386,0.114253,0.131517
282set,CM37,-0.0193552,0.0475865,-0.025242,0.00198185,-0.013205,0.00460595,-0.0772459,-0.0276941,0.000501825,-0.0890604,-0.0180305,0.0725473,-0.127436,-0.0521498,0.236511,-0.116332,-0.124692,0.392085,0.114921,0.131827
282set,CM105,-0.0847603,-0.076401,0.00715736,0.0651543,-0.0834153,0.144301,0.000997411,0.0707395,0.00120091,0.0154744,-0.0159916,0.0210997,-0.0606633,0.0658806,0.0488373,0.00148511,-0.0398795,0.00962285,-0.0163232,-0.0494808
282set,CM174,-0.0821055,-0.0776645,0.00633934,0.0672883,-0.0797283,0.148263,0.00188682,0.0649162,0.00432561,0.0158775,-0.0162946,0.0232754,-0.0650314,0.0659142,0.0478583,3.15633e-05,-0.0402011,0.00989486,-0.0190962,-0.0497234
282set,CML5,0.0908471,-0.0329667,-0.0162993,0.0689207,0.0319056,-0.0412127,-0.0250754,0.0229804,-0.0138719,0.0183619,0.0873216,-0.0634103,-0.0853115,-0.00175091,-0.00708249,-0.104062,-0.0435998,0.0164134,-0.00182217,0.0302829
282set,CML10,0.0976277,-0.0369507,-0.0248806,0.0968678,0.0371296,-0.0473435,-0.0299825,0.051173,-0.00739249,0.0921113,0.232864,-0.146565,-0.196932,-0.0107448,-0.120528,-0.153888,-0.206514,-0.0582589,-0.142244,0.315001
282set,CML11,0.0993692,-0.0376333,-0.0238554,0.0962829,0.0377719,-0.0489605,-0.0304602,0.0528716,-0.0029251,0.0930871,0.231927,-0.150007,-0.196705,-0.0108994,-0.119118,-0.157417,-0.208987,-0.0594916,-0.145451,0.315977
282set,CML14,0.0881399,-0.0331091,-0.0149993,0.0497057,0.0242336,-0.0260754,-0.00331301,0.0197461,0.0123824,0.00292952,0.0251448,-0.0354746,-0.0343474,-0.010673,0.00880027,-0.0274869,-0.0217301,0.0266892,0.0233859,0.00562184
282set,CML38,0.0842735,-0.0289766,-0.0134531,0.0631739,0.0417803,-0.0168331,-0.00963342,0.0219664,0.0110109,0.0197387,-0.0475103,-0.0190026,0.0506595,-0.0210964,0.00788656,0.0153345,0.0406606,-0.0230353,-0.0128423,-0.0567255
282set,CML45,0.0887032,-0.0270934,-0.0133976,0.057774,0.0231907,-0.0256716,-0.0259059,0.0216365,-0.0149075,0.0135549,0.0344072,-0.0393517,0.00391912,0.000947392,0.0297968,-0.088276,0.00940164,-0.0376285,-0.00615222,-0.059572
282set,CML52,0.0778478,-0.0284156,-0.0175416,0.0463107,0.0348171,-0.0197808,-0.0140045,0.0113158,0.0237897,0.00660272,-0.0182367,-0.00379401,0.0475834,-0.0142465,0.0112929,-0.0205507,0.0247986,-0.011106,-0.0070283,-0.0393049
282set,CML61,0.081683,-0.0320184,-0.022373,0.0717184,0.0406186,-0.0300978,-0.0320369,0.0197287,-0.028536,0.015592,0.050724,-0.0180753,-0.0087725,0.0163811,0.0235638,-0.0887052,0.0299021,-0.00992526,0.0416031,-0.0856012
282set,CML69,0.0820299,-0.0263981,-0.0137704,0.0517413,0.0353253,-0.0179975,-0.0128219,0.0260543,-0.00429876,-0.0125904,-0.0600174,-0.0129657,0.0464744,0.0393315,0.0454918,-0.000465772,-0.00332434,0.00010195,-0.00646422,-0.0164835
282set,CML77,0.0668292,-0.0220369,-0.016089,0.0270738,0.0189699,-0.00518187,-0.00422872,0.0227589,-0.00611256,-0.000403541,0.019536,-0.0325467,0.000666749,0.00557806,-0.00192589,-0.0280724,-0.0234172,-0.00744275,-0.00906802,0.0185364
282set,CML91,0.0576228,-0.021028,-0.0172141,0.0536686,0.0218431,-0.0180366,-0.0159184,0.0137696,-0.00839877,0.027671,0.0814599,-0.0173611,-0.0435408,0.0299266,-0.00455528,-0.0489187,0.0159785,0.0238487,0.00958472,-0.01959
282set,CML92,0.0572751,-0.0301769,-3.28959e-05,0.0394504,0.0157025,-0.00445501,0.00709832,0.00935283,0.000219587,0.000772061,-0.0303964,-0.0112412,0.0173893,-0.00482043,0.0286198,-0.00972943,0.0279216,-0.0210151,-0.0188474,-0.0307429
282set,CML103,0.0566664,-0.012926,-0.00176343,0.0486747,0.0256936,-0.0159815,-0.0115291,0.00273178,-0.0397017,0.00494581,0.0467132,0.013174,-0.0561346,0.0361462,0.0461377,-0.0731403,0.00692809,0.0248571,0.0397565,-0.0629528
282set,CML108,0.0546653,-0.00989789,-0.000254547,0.0426904,0.0318499,-0.0291231,-0.0382718,0.0267655,-0.00645363,-0.00133645,0.0274966,-0.00824304,-0.042387,-0.00356234,0.0883161,-0.0989481,0.0356498,0.0315459,0.00568446,-0.0306036
282set,CML154Q,0.0800404,-0.0269041,-0.0124627,0.0555324,0.0270772,-0.0211158,-0.00930501,0.0213233,-0.00785833,-0.00328787,0.0160005,-0.0106469,0.00405074,-0.0167641,0.020328,-0.0423572,0.0160967,0.00961522,0.0288331,-0.0653212
282set,CML157Q,0.0783183,-0.0256673,-0.0175344,0.0566239,0.0223507,-0.0167414,-0.0178442,0.0165793,-0.0121101,-0.00674795,0.0037666,-0.0269471,0.010154,-0.0182954,0.0206261,0.00596242,0.0459158,0.0119059,0.0115927,-0.0548798
